id,title,title_japanese,format,episodes,durationmin,start_date,studio,genres,average_score,popularity,description,anilist_url,studio_list,start_date_filled
195384,Meikyuu no Shiori,迷宮のしおり,MOVIE,1.0,,2026-01-01,SANZIGEN,"['Horror', 'Sci-Fi']",,860,"One day, Shiori Maezawa, an ordinary high school girl, cracked her smartphone while falling down a staircase. As she wakes up, she finds herself in a deserted, parallel world that looks like Yokohama.    When she looks at her smartphone, she finds a photo of herself that she doesn't remember posting on social media. What’s the source of this mysterious post?    Will she be able to escape from this strange smartphone labyrinth?    (Source: Official Site, translated)",https://anilist.co/anime/195384,['SANZIGEN'],2026-01-01
166617,Fate/strange Fake,Fate/strange Fake,TV,,25.0,2026-01-03,A-1 Pictures,"['Action', 'Adventure', 'Fantasy', 'Mystery', 'Supernatural']",,30198,"In a Holy Grail War, Mages (Masters) and their Heroic Spirits (Servants) fight for the control of the Holy Grail—an omnipotent wish-granting device said to fulfill any desire. Years have passed since the end of the Fifth Holy Grail War in Japan. Now, signs portend the emergence of a new Holy Grail in the western American city of Snowfield. Sure enough, Masters and Servants begin to gather...     A missing Servant class...  Impossible Servant summonings...  A nation shrouded in secrec",https://anilist.co/anime/166617,['A-1 Pictures'],2026-01-03
177580,Hanazakari no Kimitachi e,花ざかりの君たちへ,TV,,,2026-01-04,Signal.MD,"['Comedy', 'Drama', 'Romance', 'Slice of Life']",,3412,"Japanese-American track-and-field star Mizuki has gotten herself to transfer to a high school in Japan...but not just any school! To be close to her idol, high jumper Izumi Sano, she's going to an all-guys' high school...and disguising herself as a boy! But as fate would have it, they're more than classmates...they're roommates! Now, Mizuki must keep her secret in the classroom, the locker room, and her own bedroom. And her classmates--and the school nurse--must cope with a new transfer student",https://anilist.co/anime/177580,['Signal.MD'],2026-01-04
185753,MF Ghost 3rd Season,MFゴースト 3rd Season,TV,,,2026-01-04,Felix Film,"['Sci-Fi', 'Sports']",,5190,The third season of MF Ghost.,https://anilist.co/anime/185753,['Felix Film'],2026-01-04
189259,Arisugawa Ren tte Honto wa Onna Nanda yo ne.,有栖川煉ってホントは女なんだよね。,ONA,,,2026-01-04,studio LEO,"['Comedy', 'Drama', 'Hentai']",,139,"A secret that could shake the entire entertainment industry— This sweet and innocent rom-com is a long-time bestseller! Kyouhei's one and only claim to fame? Being cousins with Ren Arisugawa, an ultra-popular male idol. The two haven’t seen each other since they were kids, but out of the blue, Ren suddenly shows up to crash at Kyouhei’s rundown apartment. But when Kyouhei playfully tries to sneak a peek while Ren’s changing, he makes a shocking discovery! Ren is actually a girl in disguise! Now",https://anilist.co/anime/189259,['studio LEO'],2026-01-04
197731,Goumon Baito-kun no Nichijou,拷問バイトくんの日常,TV,,,2026-01-04,,['Comedy'],,1161,"The dark workplace comedy manga takes place in a world where murder and torture are legal and numerous ""torture contract companies"" exist. Cero and Shiu work part time for the ""Spirytus"" torture company, which is known for treating its employees well and only targeting bad people. Two new part time hires — Mikke and Hugh — also join the company, and the four enjoy their torture-working life.    (Source: Anime News Network)",https://anilist.co/anime/197731,[],2026-01-04
198767,Ichigo Aika: Zatsu de Namaiki na Imouto to Warikirenai Ani,イチゴ哀歌～雑で生イキな妹と割り切れない兄～,TV,,,2026-01-05,Studio Houkiboshi,"['Comedy', 'Ecchi', 'Romance']",,1356,"Kouta's world just got turned upside down. His dad's remarriage meant a new stepsister, Aika, and from their first encounter, it's clear she's everything he isn't. By day, Aika effortlessly plays the ""perfect angel"" for her parents, but behind closed doors, she's a cheeky teenager, a complete mismatch for Kouta. Their personalities clash violently, sparking arguments the moment their eyes meet. They might just be the world's worst siblings, locked in a constant battle of wills. Despite an incred",https://anilist.co/anime/198767,['Studio Houkiboshi'],2026-01-05
198720,Hokuto no Ken: Ken'ougun Zako-tachi no Banka,北斗の拳 拳王軍ザコたちの挽歌,TV_SHORT,,,2026-01-05,,[],,106,,https://anilist.co/anime/198720,[],2026-01-05
166521,Golden Kamuy: Saishuushou,ゴールデンカムイ 最終章,TV,,,2026-01-05,Brain's Base,"['Action', 'Adventure', 'Comedy']",,10391,The fifth and final season of Golden Kamuy.,https://anilist.co/anime/166521,"[""Brain's Base""]",2026-01-05
187942,Mayonaka Heart Tune,真夜中ハートチューン,TV,,,2026-01-06,Gekkou,"['Comedy', 'Romance']",,6998,"When Arisu Yamabuki was all alone in bed at night, he was able to find solace in the voice of a radio host who went by “Apollo.” However, one day, she simply stopped broadcasting without any explanation. Years then passed, and Arisu is now a second-year high-schooler. He makes it his mission to search for Apollo, as there is something he wants to tell her. He doesn’t know what she looks like, or even what her real name is, but he manages to get some leads on her in his school’s broadcasting club",https://anilist.co/anime/187942,['Gekkou'],2026-01-06
